Municipio;reg_autonomos;reg_general;total
Vitoria-Gasteiz;12556;113431;128182
Alacant/Alicante;21904;194761;220393
Elche/Elx;16002;68998;87780
Palma;31272;237944;274052
Barcelona;128665;1071264;1227111
L´Hospitalet de Llobregat;13046;92373;106346
Córdoba;19680;120721;145002
A Coruña;15352;129757;149457
Granada;16592;123937;145124
Madrid;203442;2065860;2338583
Málaga;37152;289323;333024
Murcia;30877;201907;245133
Gijón;16142;65407;84221
Vigo;18252;120631;143920
Sevilla;38779;355465;404333
Valencia;60581;377161;453882
Valladolid;15948;137483;156554
Bilbao;21921;164290;193218
Zaragoza;38941;274477;321363
