;Municipio;total_superficie;menos_de_60m2;entre_61_y_105m2;mas_de_106m2;%menos_de_60m2;%entre_61_y_105m2;%mas_de_106m2
0;Vitoria-Gasteiz;119853;13501;92161;14191;11.264632508155824;76.89502974477068;11.840337747073498
1;Alacant/Alicante;187658;37608;119585;28691;20.04071235971821;63.72496776050048;15.288983150198765
2;Elche/Elx;116080;17738;73758;24435;15.280840799448656;63.54066161268091;21.05013783597519
3;Palma;186482;45228;105354;34841;24.253279136860396;56.49553308094079;18.683304554863202
4;Barcelona;808751;395237;332921;64688;48.8700477650105;41.16483318104089;7.998506338786599
5;L´Hospitalet de Llobregat;110488;79438;29218;1321;71.89740062269206;26.444500760263555;1.1956049525740353
6;Córdoba;155400;41373;86848;26825;26.623552123552123;55.886743886743886;17.261904761904763
7;A Coruña;136205;40341;82693;12987;29.617855438493446;60.71216181491135;9.534892257993466
8;Granada;141257;23167;88612;29082;16.400603155949796;62.73105049661256;20.588006258096943
9;Madrid;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
10;Málaga;261857;73569;148376;38981;28.095105343756327;56.66298781395953;14.886369277888315
11;Murcia;219740;36158;133309;49178;16.454901246928188;60.66669700555202;22.380085555656684
12;Gijón;148955;46097;90908;11792;30.946930280957336;61.03051257091068;7.9164848444160985
13;Las Palmas de Gran Canaria;175181;49264;89351;29221;28.121771196648037;51.004960583624936;16.680461922240426
14;Vigo;144293;36389;79500;26143;25.218825584054667;55.096227814239086;18.11799602198305
15;Sevilla;327393;99194;182780;42836;30.298143210148048;55.82892731365667;13.08396941901629
16;Valencia;414988;89560;265371;58119;21.581346930513654;63.9466683373977;14.004983276624866
17;Valladolid;159363;40016;102536;16623;25.109969064337395;64.34115823622798;10.430903032698932
18;Bilbao;165685;38972;105838;20875;23.521743066662644;63.879047590306904;12.599209343030449
19;Zaragoza;338961;117443;187534;33641;34.647938848422086;55.32612896468916;9.924740604376314
