Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;;;Viviendas: Total;2024M08;49.453
Total Nacional;01 Andalucía;;Viviendas: Total;2024M08;10.140
Total Nacional;01 Andalucía;04 Almería;Viviendas: Total;2024M08;1.238
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2024M08;1.281
Total Nacional;01 Andalucía;14 Córdoba;Viviendas: Total;2024M08;761
Total Nacional;01 Andalucía;18 Granada;Viviendas: Total;2024M08;1.225
Total Nacional;01 Andalucía;21 Huelva;Viviendas: Total;2024M08;568
Total Nacional;01 Andalucía;23 Jaén;Viviendas: Total;2024M08;597
Total Nacional;01 Andalucía;29 Málaga;Viviendas: Total;2024M08;2.789
Total Nacional;01 Andalucía;41 Sevilla;Viviendas: Total;2024M08;1.681
Total Nacional;02 Aragón;;Viviendas: Total;2024M08;1.141
Total Nacional;02 Aragón;22 Huesca;Viviendas: Total;2024M08;244
Total Nacional;02 Aragón;44 Teruel;Viviendas: Total;2024M08;119
Total Nacional;02 Aragón;50 Zaragoza;Viviendas: Total;2024M08;778
Total Nacional;03 Asturias, Principado de;;Viviendas: Total;2024M08;1.211
Total Nacional;03 Asturias, Principado de;33 Asturias;Viviendas: Total;2024M08;1.211
Total Nacional;04 Balears, Illes;;Viviendas: Total;2024M08;987
Total Nacional;04 Balears, Illes;07 Balears, Illes;Viviendas: Total;2024M08;987
Total Nacional;05 Canarias;;Viviendas: Total;2024M08;2.057
Total Nacional;05 Canarias;35 Palmas, Las;Viviendas: Total;2024M08;1.159
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2024M08;898
Total Nacional;06 Cantabria;;Viviendas: Total;2024M08;700
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2024M08;700
Total Nacional;07 Castilla y León;;Viviendas: Total;2024M08;2.399
Total Nacional;07 Castilla y León;05 Ávila;Viviendas: Total;2024M08;175
Total Nacional;07 Castilla y León;09 Burgos;Viviendas: Total;2024M08;512
Total Nacional;07 Castilla y León;24 León;Viviendas: Total;2024M08;379
Total Nacional;07 Castilla y León;34 Palencia;Viviendas: Total;2024M08;163
Total Nacional;07 Castilla y León;37 Salamanca;Viviendas: Total;2024M08;315
Total Nacional;07 Castilla y León;40 Segovia;Viviendas: Total;2024M08;176
Total Nacional;07 Castilla y León;42 Soria;Viviendas: Total;2024M08;61
Total Nacional;07 Castilla y León;47 Valladolid;Viviendas: Total;2024M08;488
Total Nacional;07 Castilla y León;49 Zamora;Viviendas: Total;2024M08;130
Total Nacional;08 Castilla - La Mancha;;Viviendas: Total;2024M08;2.338
Total Nacional;08 Castilla - La Mancha;02 Albacete;Viviendas: Total;2024M08;348
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Viviendas: Total;2024M08;438
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Viviendas: Total;2024M08;114
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Viviendas: Total;2024M08;407
Total Nacional;08 Castilla - La Mancha;45 Toledo;Viviendas: Total;2024M08;1.031
Total Nacional;09 Cataluña;;Viviendas: Total;2024M08;7.721
Total Nacional;09 Cataluña;08 Barcelona;Viviendas: Total;2024M08;4.724
Total Nacional;09 Cataluña;17 Girona;Viviendas: Total;2024M08;1.138
Total Nacional;09 Cataluña;25 Lleida;Viviendas: Total;2024M08;535
Total Nacional;09 Cataluña;43 Tarragona;Viviendas: Total;2024M08;1.324
Total Nacional;10 Comunitat Valenciana;;Viviendas: Total;2024M08;7.923
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Viviendas: Total;2024M08;4.276
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Viviendas: Total;2024M08;970
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Viviendas: Total;2024M08;2.677
Total Nacional;11 Extremadura;;Viviendas: Total;2024M08;834
Total Nacional;11 Extremadura;06 Badajoz;Viviendas: Total;2024M08;478
Total Nacional;11 Extremadura;10 Cáceres;Viviendas: Total;2024M08;356
Total Nacional;12 Galicia;;Viviendas: Total;2024M08;1.781
Total Nacional;12 Galicia;15 Coruña, A;Viviendas: Total;2024M08;907
Total Nacional;12 Galicia;27 Lugo;Viviendas: Total;2024M08;163
Total Nacional;12 Galicia;32 Ourense;Viviendas: Total;2024M08;188
Total Nacional;12 Galicia;36 Pontevedra;Viviendas: Total;2024M08;523
Total Nacional;13 Madrid, Comunidad de;;Viviendas: Total;2024M08;5.423
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Viviendas: Total;2024M08;5.423
Total Nacional;14 Murcia, Región de;;Viviendas: Total;2024M08;1.893
Total Nacional;14 Murcia, Región de;30 Murcia;Viviendas: Total;2024M08;1.893
Total Nacional;15 Navarra, Comunidad Foral de;;Viviendas: Total;2024M08;543
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Viviendas: Total;2024M08;543
Total Nacional;16 País Vasco;;Viviendas: Total;2024M08;1.970
Total Nacional;16 País Vasco;01 Araba/Álava;Viviendas: Total;2024M08;289
Total Nacional;16 País Vasco;48 Bizkaia;Viviendas: Total;2024M08;1.095
Total Nacional;16 País Vasco;20 Gipuzkoa;Viviendas: Total;2024M08;586
Total Nacional;17 Rioja, La;;Viviendas: Total;2024M08;300
Total Nacional;17 Rioja, La;26 Rioja, La;Viviendas: Total;2024M08;300
Total Nacional;18 Ceuta;;Viviendas: Total;2024M08;39
Total Nacional;18 Ceuta;51 Ceuta;Viviendas: Total;2024M08;39
Total Nacional;19 Melilla;;Viviendas: Total;2024M08;53
Total Nacional;19 Melilla;52 Melilla;Viviendas: Total;2024M08;53
